what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1368476465574
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1368476465574
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1368476465575
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1368476465575
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1368476465576
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1368476465576
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1368476465576
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1368476465577
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1368476465577
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1368476465578
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1368476465578
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1368476465579
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1368476465580
started,bundle,org.eclipse.php.core,2.1.1.v20090921-1100,"org.eclipse.php.core",1368476465624
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1368476465625
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1368476465625
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1368476465625
started,bundle,org.eclipse.php.server.core,2.1.1.v20090707-1108,"org.eclipse.php.server.core",1368476465626
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1368476465627
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1368476465628
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1368476465628
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1368476465629
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1368476465629
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1368476465631
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1368476465631
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1368476465632
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1368476465642
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1368476465643
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1368476465644
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1368476465645
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1368476465645
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1368476465646
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1368476465647
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1368476465660
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1368476465661
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1368476465662
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1368476465663
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1368476465663
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1368476465664
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1368476465664
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1368476465665
os,sysinfo,,,"win32",1368476465668
arch,sysinfo,,,"x86",1368476465668
ws,sysinfo,,,"win32",1368476465668
locale,sysinfo,,,"pt_BR",1368476465668
processors,sysinfo,,,"2",1368476465668
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368476465668
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1368476465668
java.specification.name,sysinfo,,,"Java Platform API Specification",1368476465668
java.specification.vendor,sysinfo,,,"Oracle Corporation",1368476465668
java.specification.version,sysinfo,,,"1.7",1368476465668
java.vendor,sysinfo,,,"Oracle Corporation",1368476465668
java.version,sysinfo,,,"1.7.0_07",1368476465668
java.vm.info,sysinfo,,,"mixed mode, sharing",1368476465668
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1368476465668
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368476465668
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1368476465668
java.vm.specification.version,sysinfo,,,"1.7",1368476465668
java.vm.vendor,sysinfo,,,"Oracle Corporation",1368476465668
java.vm.version,sysinfo,,,"23.3-b01",1368476465668
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368476470904
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368476471929
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1368476472037
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1368476472397
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1368476472414
